plot_id,design_weight,lange,breite,meereshohe,artenreichtum_gefasspflanzen,artenreichtum_neophyten,artenanteil_neophyten,deckungsanteil_neophyten,temperaturzahl,kontinentalitatszahl,feuchtezahl,reaktionszahl,nahrstoffzahl,strategie_c,strategie_r,strategie_s,lolium_multiflorum_p_a,veronica_filiformis_p_a,veronica_persica_p_a,medicago_sativa_p_a,erigeron_annuus_p_a,matricaria_discoidea_p_a,bromus_inermis_p_a,conyza_canadensis_aggr_p_a,impatiens_parviflora_p_a,juncus_tenuis_p_a,solidago_gigantea_p_a,vicia_villosa_p_a,hex10,hex20,BGR,kantone
3049,1,6.18,46.35,453,34,1,0.029411764705882353,0.03125,3.526315789,3.045454545,2.954545455,3.217391304,3.666666667,1,1.333333333,0.666666667,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,16,Mittelland,Vaud
3050,1,6.18,46.46,1071,31,0,0,0,3.0625,2.944444444,3.027777778,3.2,3.7,1.047619048,1.238095238,0.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,24,Jura,Vaud
3051,1,6.18,46.49,1224,42,0,0,0,2.618471954,3.003384913,3.566634476,2.841040462,3.218418515,1.807896004,0.183919114,1.008184882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,24,Jura,Vaud
3052,1,6.25,46.57,1354,62,0,0,0,2.7,3.292682927,2.583333333,3.325,2.511111111,1.191489362,0.70212766,1.106382979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,31,Jura,Vaud
3053,1,6.25,46.6,1107,56,0,0,0,3.106324111,2.881588999,3.139588101,3.148241206,3.476759628,1.087719298,0.978696742,0.93358396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,31,Jura,Vaud
3054,1,6.25,46.64,1125,34,0,0,0,3.133333333,3.055555556,2.972222222,3.111111111,3.3,1.095238095,1,0.904761905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,31,Jura,Vaud
3055,1,6.33,46.53,695,41,0,0,0,3.625,3.125,2.659090909,3.230769231,2.851851852,1.071428571,0.964285714,0.964285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,31,Jura,Vaud
3056,1,6.33,46.64,1284,62,0,0,0,3.063909774,3.611650485,2.133540373,3.833333333,2.304761905,1.113207547,0.643867925,1.242924528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,31,Jura,Vaud
3057,1,6.41,46.5,486,43,2,0.046511627906976744,0.2563994964330675,3.480314961,2.984288355,3.094617325,3.114727421,3.848184818,1.535714286,0.983766234,0.480519481,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,38,Mittelland,Vaud
3058,1,6.41,46.6,659,34,2,0.058823529411764705,0.0041279669762641896,3.82320442,3.610603291,2.674311927,3.662480377,3.197080292,1.137931034,1.462382445,0.39968652,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,31,Jura,Vaud
